gene_id	C1	C2	T1	T2	T3
50512	10.42	5.64	39.27	37.32	41.73
50515	1.49	0.28	9.74	8.25	9.20
5052	207.72	152.88	340.14	340.66	292.88
5053	0	0	2.83	3.24	4.26
5054	11.11	7.93	52.74	59.80	52.59
5055	35.15	14.18	13.97	17.11	16.81
5058	10.76	9.18	18.45	17.58	19.86
506	355.48	258.86	533.83	568.56	497.84
50604	1.14	0.45	0	1.34	0.70
50614	0	0	0.12	0.45	0.32
50615	0	0.06	2.17	1.98	1.50
50617	10.64	18.84	1.08	1.33	1.12
50618	13.18	23.22	7.34	6.23	8.38
50619	14.86	5.01	38.05	41.62	36.54
5062	13.96	5.42	26.68	20.87	24.33
50624	0.15	0.47	1.31	0.36	0.56
50626	26.73	6.40	26.40	33.63	24.14
50628	12.94	5.96	17.90	16.17	18.04
5063	0.60	0.78	0.39	0.12	0.22
50632	0	0	0.35	0.36	0.45
50636	0	0	0.71	0.49	0.41
5064	26.57	5.96	10.66	13.49	10.49
50640	10.06	8.67	8.92	7.31	9.03
50649	34.72	10.27	3.94	4.79	4.17
50650	12.59	8.00	6.68	6.29	8.51
50651	0.41	0.43	0.79	0.80	0.51
5066	19.34	25.33	28.22	26.13	24.51
5067	0.42	0.85	0	0.08	0.08
5069	0.93	1.24	1.92	2.06	1.94
50700	0	0	0	0.24	0
5071	4.67	2.48	0.64	0.60	0.97
50717	25.89	11.20	22.52	23.50	26.37
5073	14.94	15.91	23.32	23.20	21.25
5074	11.11	5.77	10.32	9.58	7.86
5075	0.19	0.10	0	0	0
5076	0.10	0	0.18	0	0.35
5077	0.67	1.22	3.07	2.28	1.48
5079	0	0	0.53	0.37	0.34
5080	0.10	0.04	6.51	5.28	5.44
50801	0.62	0	0	0	0.51
50804	1.48	1.25	7.00	6.01	5.62
50805	15.48	2.31	0.89	0.18	0.38
50807	10.24	12.71	14.20	14.34	12.84
50808	18.73	13.86	14.91	11.87	10.24
50809	50.06	34.01	63.91	54.50	63.41
5081	0	0	0	0	0.07
50810	8.53	6.73	18.42	14.63	18.53
50813	43.15	20.65	38.08	47.63	45.29
50814	17.80	19.43	27.42	25.91	26.45
5082	5.83	4.95	6.62	5.50	6.20
5083	0.33	0	1.79	2.20	3.00
50832	0	0.96	0.39	0.48	0
50838	0	0	0.41	0	0
50839	0	0	0	1.39	0.48
50840	0	0.60	1.26	0.45	0.94
50846	0.22	0	0.07	0.26	0
50848	38.76	14.48	20.87	21.29	21.91
50852	0	0	0.56	0.91	1.80
50853	3.48	1.74	7.11	7.12	4.43
50854	83.94	22.90	245.86	198.54	256.86
50855	2.24	1.32	5.36	6.92	3.10
50856	1.22	1.20	1.47	0.79	0
50861	16.10	2.10	34.62	40.83	36.78
50862	24.29	6.71	7.86	7.08	7.56
50863	0.54	0.42	0.68	1.31	0.44
50865	28.59	9.63	38.30	44.02	30.22
5087	8.37	3.82	8.26	8.08	8.31
5089	32.10	8.94	35.33	38.85	32.21
509	105.03	75.08	143.53	125.13	131.49
5090	4.26	2.49	7.60	8.13	8.24
5091	8.95	5.85	15.73	16.76	14.33
5092	20.10	13.10	37.77	44.31	47.85
5093	147.53	49.41	249.23	261.81	245.46
50937	4.50	9.19	3.55	3.77	3.96
50939	0	0.03	0	0.05	0.05
5094	128.26	170.41	240.29	260.23	240.47
50940	0.38	2.34	0.71	0.88	1.13
50943	0.76	0	0	0.18	0.36
50944	0	0.25	0.40	0.54	0.70
5095	10.13	17.44	15.66	13.21	13.70
5096	24.78	33.68	38.88	36.72	39.25
50964	0.15	0	0	0	0
5097	34.59	24.58	6.05	7.98	6.14
5098	27.36	12.13	22.91	24.36	22.46
5099	15.20	9.39	2.89	2.23	3.11
50999	3.33	3.17	11.24	11.75	9.89
51	9.55	23.35	7.20	4.49	6.87
5100	0.09	0	0	0.30	0.56
51000	4.71	2.20	7.01	5.88	6.95
51001	7.45	4.32	15.86	21.19	19.25
51002	9.26	10.18	34.81	25.29	19.46
51003	2.60	1.99	3.18	2.80	4.15
51004	9.05	8.17	12.02	11.52	10.20
51005	13.64	2.34	14.29	18.06	14.54
51006	20.35	7.76	33.83	41.94	36.64
51008	9.14	14.18	11.71	8.81	11.48
51009	5.06	1.82	7.64	7.76	8.28
5101	0.28	1.16	0.57	0.69	0.27
51010	9.71	5.98	17.47	16.44	19.67
51011	11.15	11.91	17.49	22.57	19.85
51012	18.01	17.05	29.22	45.25	33.28
51013	11.74	10.94	22.29	23.26	15.25
51014	11.02	2.93	21.50	18.56	17.40
51015	14.41	10.38	17.19	18.37	15.08
51016	8.59	1.60	18.10	16.47	20.30
51018	2.56	2.20	5.01	4.04	4.80
51019	12.77	21.00	17.37	13.42	16.19
51020	19.40	19.07	34.16	34.56	30.60
51021	26.06	15.94	33.17	35.20	39.27
51022	7.30	2.73	15.12	13.40	13.93
51023	16.94	25.72	30.35	16.28	18.42
51024	102.11	63.56	79.65	94.34	65.79
51025	10.05	2.03	21.22	39.67	24.38
51026	5.49	2.78	15.68	19.61	13.76
51027	18.44	0.64	12.75	16.96	18.99
51028	14.85	14.04	10.45	12.64	11.71
51029	9.64	1.75	18.33	17.40	17.60
51030	12.19	32.29	21.41	19.14	18.10
51031	36.29	14.65	33.03	37.70	34.95
51032	0.38	0	0	0.46	0
51035	70.30	29.69	94.93	89.08	71.30
5104	1.33	0.46	29.48	26.84	31.48
51042	25.62	4.12	34.76	49.06	50.14
51043	78.48	7.77	13.66	17.29	13.80
51046	0	0	0.06	0.08	0.04
5105	5.03	3.80	7.49	7.08	5.86
51050	0.96	0.16	0.48	0.47	0.50
51053	12.07	6.10	45.93	39.19	38.59
51056	117.04	100.19	36.62	27.06	27.61
51057	0.94	2.69	1.26	1.58	1.38
51058	2.38	1.55	7.44	5.84	8.79
51059	0.10	0	0	0	0
5106	9.70	2.50	58.12	66.19	55.38
51060	18.17	10.19	47.14	47.57	47.52
51061	15.28	7.44	20.43	21.97	23.28
51062	6.31	6.33	0.88	1.23	0.48
51063	10.50	3.88	8.32	8.76	8.76
51065	32.07	19.02	46.33	44.14	42.85
51066	0.65	0.17	3.04	3.65	4.07
51067	5.78	3.62	16.22	14.47	12.44
51068	15.81	14.02	35.01	30.55	29.88
51069	16.33	6.47	42.76	32.18	38.71
51070	33.38	14.97	36.88	43.35	35.86
51071	14.96	8.10	25.73	25.06	27.09
51072	22.94	19.63	21.90	24.57	18.82
51073	41.65	14.67	68.77	85.04	69.67
51074	11.22	3.04	18.81	21.33	18.41
51075	34.88	38.38	67.65	74.23	70.91
51076	15.08	10.88	16.63	15.37	16.34
51077	12.46	9.85	20.86	14.07	16.10
51078	47.31	21.07	27.97	35.39	32.06
51079	187.24	301.13	302.46	264.64	245.39
5108	15.91	18.79	20.51	14.53	22.42
51081	31.46	17.79	51.98	39.51	49.60
51082	56.00	32.20	80.22	84.92	85.79
51083	16.25	10.48	45.30	50.10	51.06
